code,sharpe_ratio,timeToMarket
002826,,20161209
603036,,20161209
002827,,20161209
600239,0.3995874799664226,19991202
603990,,20161208
600173,0.3859581230471955,19990415
600909,3756.6893418505933,20161206
601882,2486.5024066851142,20161107
600466,0.30013177346929787,20010212
000011,0.37669366118243386,19920330
300268,0.6348473050384534,20110927
300565,11750.724593417695,20161122
002819,5644.97572105033,20161111
603819,11880.673089638387,20161125
300570,13791.989113072212,20161206
603633,8739.553735082467,20161117
603336,8363.333478048535,20161124
601116,0.49228469928634694,20110302
002823,12016.505906279719,20161124
300556,9088.332110626943,20161104
300562,20958.834616392534,20161116
603559,15500.43639226664,20161202
603319,10358.143124374581,20161130
603033,18891.54499785729,20161207
002822,13733.58914120525,20161129
002216,0.3107400431927141,20080220
300567,27117.173612802722,20161122
300568,23107.332105851503,20161201
300563,16051.215138990417,20161114
002828,,20161208
002825,12106.491458666535,20161129
603660,7996.564150659668,20161201
603001,0.2291434540749352,20120426
600865,0.4268299914885597,19940809
600679,0.3715896479877331,19931008
300572,7187.978521790686,20161206
002136,0.28930929274820316,20070530
000510,0.3979594735188765,19930507
600814,0.3465658208921825,19940114
300573,,20161208
002561,0.07508905045954067,20110303
601668,0.3310143203519911,20090729
600156,0.24903782807531258,19980527
600215,0.18320619592557882,19990909
600718,0.5671587602992386,19960618
002602,1.1533817694285975,20110728
002481,0.8045326101536117,20100921
000980,0.30851077424100304,20000616
002341,0.6556967790322329,20100122
002746,1.8603491690667542,20150216
300491,2.6947958596187753,20151231
000719,0.3601902770551738,19970331
600416,0.406206047984535,20020718
600793,0.33467360629533804,19970220
002574,0.06353270906129797,20110422
002669,1.008130237682586,20120416
002599,0.6369913270684313,20110715
300164,0.247468145763248,20110113
300242,1.0324202467298191,20110712
600390,0.26165058244546385,20010115
002451,0.6010989497387348,20100720
000571,0.4779077490341915,19940525
000863,0.32535328291041177,19970925
002058,0.6554746675535968,20060802
000759,0.38315675195666415,19970519
002651,0.4476638134262789,20120106
002287,0.46151462895840195,20090828
600779,0.40544863733373476,19961206
600083,0.2974908253037285,19970606
600019,0.27091849528471357,20001212
603315,1.3308451116113234,20150424
002679,0.8516558009400383,20120605
601328,0.04154737756844991,20070515
300482,2.1596877853220433,20150630
600381,0.33807007667956873,20010508
600629,0.27346042313968383,19930209
601628,0.13265498585554183,20070109
000723,0.3465626432890202,19970515
603369,0.5861187276720148,20140703
000703,0.3408336608740801,19970328
600800,0.4002769545598624,19931206
002342,0.01184525517143067,20100126
002652,0.9992017092117508,20120119
600738,0.42850393504857937,19960802
002660,0.6074681237938058,20120316
000419,0.4308334164047763,19960816
600794,0.4570166643238517,19970306
600723,0.2970993357596556,19960716
600870,0.4273416505331475,19950228
000333,0.9616394245369613,19931112
000006,0.4592480601097849,19920427
000019,0.3565738734811055,19921012
600137,0.27357781518009233,19980416
300209,0.7201673453724323,20110426
601998,0.10844932367690883,20070427
600638,0.3785860090718627,19930326
000488,0.28805352123547384,20001120
300401,2.019811888339185,20141009
300149,0.5407581542987633,20101222
002322,0.398849490673808,20091218
600827,0.4162669762685345,19940204
000514,0.3607867777469324,19930712
601186,0.2199399336720031,20080310
300275,0.4054562067945671,20111102
601818,0.2987867629684639,20100818
300364,1.8866082809966078,20150121
600005,0.348563647127324,19990803
600275,0.34060878667465133,20000810
002035,0.7624319092856673,20040901
600774,0.40415367245805156,19961108
002648,0.3877967787123171,20111228
000417,0.45630504042777414,19960812
601800,0.717038311985835,20120309
600959,0.8362821564116327,20150428
600146,0.44366318280588773,19990707
600057,0.35340810649690624,19970604
601997,2.449761008294189,20160816
002345,0.463783460063631,20100128
600790,0.33448992052375615,19970228
002623,0.310981687633597,20111013
002691,1.1527474513211593,20120731
600868,0.4767651606234247,19940912
002362,0.09176475865103319,20100303
600735,0.46928240502480556,19960726
600833,0.43662641480289766,19940224
300003,0.27322026318778003,20091030
300415,0.8936211295425774,20150123
002777,3.187932552089873,20151231
600658,0.3172816711413757,19930524
600824,0.4174820247207364,19940204
002181,0.1444768101572495,20071116
601211,-0.2894426319513054,20150626
000014,0.4146996791059579,19920602
600683,0.372327106298927,19931025
601939,0.11070686530937279,20070925
000651,0.7859040750415404,19961118
600150,0.49736546023701467,19980520
001979,-0.4321395437905245,20151230
002186,0.22452273084009675,20071120
300112,0.47935290317902995,20100827
600155,0.3558921632720191,19980918
300029,0.06666834531740931,20091225
600510,0.33507466051493967,20020618
600841,0.3032633847046901,19940311
601877,0.3801799669072401,20100121
600965,0.5306596765883395,20040713
600325,0.4444232589142898,20040225
603988,1.4612773064812852,20141104
300190,0.42440642912541177,20110316
002313,0.2731522329286737,20091203
300391,1.7202851977327525,20140801
601336,0.4293822329165383,20111216
300444,1.1866408180890242,20150423
002409,0.575645273770515,20100525
300126,0.3580526913467754,20101013
300182,0.9189057045006898,20110222
600643,0.27598583101796875,19930426
002119,0.3906993129387615,20070302
600500,0.42769252284608217,20000301
600858,0.4334571399177743,19940506
601233,0.23496274898732683,20110518
600139,0.48050880913435173,19980225
002187,0.10765113139239925,20071122
600277,0.2491169105992319,20000725
